Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
34,Self Enquiry,1,6,Salaried,Female,3,1,Basic,3,Single,3,0,1,1,1,Executive,18280,0
50,Self Enquiry,1,7,Large Business,Female,3,5,Super Deluxe,3,Single,2,1,3,0,1,AVP,32642,0
32,Self Enquiry,3,15,Salaried,Male,3,4,Standard,3,Married,3,0,3,1,1,Senior Manager,29471,0
37,Self Enquiry,1,12,Salaried,Male,4,4,Deluxe,4,Unmarried,2,0,1,1,2,Manager,24592,0
30,Company Invited,1,17,Salaried,Female,3,5,Basic,3,Unmarried,3,0,4,1,1,Executive,25301,1
51,Company Invited,3,15,Large Business,Male,3,4,Deluxe,3,Divorced,5,1,5,1,1,Manager,25474,1
47,Self Enquiry,1,10,Salaried,Female,3,4,Standard,4,Married,1,1,4,1,2,Senior Manager,25333,0
27,Self Enquiry,2,32,Salaried,Female,4,4,Basic,3,Divorced,3,0,4,1,1,Executive,21620,0
30,Company Invited,1,7,Salaried,Male,4,6,Basic,3,Married,3,0,1,0,3,Executive,21398,0
60,Company Invited,3,7,Salaried,Female,3,5,Deluxe,3,Unmarried,2,0,5,1,2,Manager,24151,0
39,Self Enquiry,1,6,Small Business,Female,3,3,Basic,3,Married,1,0,3,0,1,Executive,17232,0
37,Company Invited,1,8,Salaried,Male,3,4,Deluxe,3,Married,6,0,2,0,1,Manager,20163,0
52,Self Enquiry,1,10,Small Business,Female,4,4,Super Deluxe,4,Single,5,0,5,1,2,AVP,32412,0
31,Self Enquiry,1,9,Small Business,Male,3,5,Basic,3,Unmarried,2,0,4,0,1,Executive,21398,0
19,Self Enquiry,3,27,Salaried,Male,2,4,Basic,4,Single,2,1,1,1,1,Executive,17121,1
